Category: All categories

Month,Iphone: (Worldwide),iPod: (Worldwide)
2004-01,<1,6
2004-02,<1,5
2004-03,<1,5
2004-04,<1,5
2004-05,<1,5
2004-06,<1,6
2004-07,<1,9
2004-08,<1,9
2004-09,<1,8
2004-10,<1,9
2004-11,<1,11
2004-12,<1,15
2005-01,<1,14
2005-02,<1,13
2005-03,<1,13
2005-04,<1,12
2005-05,<1,12
2005-06,<1,14
2005-07,<1,14
2005-08,<1,13
2005-09,<1,22
2005-10,<1,20
2005-11,<1,22
2005-12,<1,31
2006-01,<1,21
2006-02,<1,17
2006-03,<1,16
2006-04,<1,15
2006-05,<1,15
2006-06,<1,15
2006-07,<1,16
2006-08,<1,15
2006-09,<1,18
2006-10,<1,17
2006-11,<1,19
2006-12,1,27
2007-01,9,19
2007-02,3,15
2007-03,2,13
2007-04,2,13
2007-05,2,13
2007-06,10,13
2007-07,11,14
2007-08,6,13
2007-09,10,21
2007-10,10,18
2007-11,14,19
2007-12,14,26
2008-01,13,21
2008-02,12,16
2008-03,14,16
2008-04,13,14
2008-05,13,14
2008-06,21,14
2008-07,32,16
2008-08,27,15
2008-09,23,17
2008-10,21,16
2008-11,20,17
2008-12,22,24
2009-01,20,17
2009-02,20,15
2009-03,21,15
2009-04,19,13
2009-05,21,14
2009-06,37,15
2009-07,29,14
2009-08,28,14
2009-09,28,15
2009-10,27,14
2009-11,26,16
2009-12,30,21
2010-01,30,17
2010-02,28,15
2010-03,28,13
2010-04,30,14
2010-05,31,14
2010-06,52,14
2010-07,52,16
2010-08,51,15
2010-09,46,17
2010-10,43,15
2010-11,46,17
2010-12,46,21
2011-01,47,16
2011-02,44,13
2011-03,43,13
2011-04,45,13
2011-05,44,12
2011-06,45,12
2011-07,47,12
2011-08,48,11
2011-09,54,11
2011-10,79,12
2011-11,55,12
2011-12,58,15
2012-01,55,13
2012-02,50,10
2012-03,49,10
2012-04,48,9
2012-05,46,8
2012-06,49,9
2012-07,51,9
2012-08,53,9
2012-09,100,11
2012-10,59,9
2012-11,55,10
2012-12,58,11
2013-01,51,8
2013-02,51,7
2013-03,50,7
2013-04,46,6
2013-05,45,6
2013-06,49,7
2013-07,47,6
2013-08,50,6
2013-09,78,6
2013-10,53,5
2013-11,52,6
2013-12,52,6
2014-01,48,5
2014-02,46,4
2014-03,45,4
2014-04,43,4
2014-05,44,4
2014-06,45,4
2014-07,46,4
2014-08,51,4
2014-09,93,4
2014-10,56,3
2014-11,54,4
2014-12,55,4
2015-01,47,3
2015-02,43,3
2015-03,43,3
2015-04,45,3
2015-05,43,3
2015-06,44,3
2015-07,47,3
2015-08,48,3
2015-09,61,3
2015-10,55,2
2015-11,48,3
2015-12,51,3
2016-01,47,2
2016-02,44,2
2016-03,49,2
2016-04,44,2
2016-05,44,2
2016-06,46,2
2016-07,50,2
2016-08,49,2
2016-09,77,2
2016-10,54,2
2016-11,50,2
2016-12,53,2
2017-01,47,2
2017-02,44,1
2017-03,44,1
2017-04,42,1
2017-05,42,1
2017-06,44,1
2017-07,45,1
2017-08,45,1
2017-09,70,1
2017-10,54,1
2017-11,61,1
2017-12,60,2
2018-01,49,1
2018-02,46,1
2018-03,46,1
2018-04,41,1
2018-05,42,1
2018-06,43,1
2018-07,43,1
2018-08,43,1
2018-09,53,1
2018-10,45,1
2018-11,47,1
2018-12,48,1
2019-01,43,1
2019-02,40,1
2019-03,38,1
2019-04,37,1
2019-05,38,1
2019-06,41,1
2019-07,40,1
2019-08,41,1
2019-09,59,1
2019-10,51,1
2019-11,50,1
2019-12,49,1
2020-01,45,1
2020-02,40,1
2020-03,38,1
2020-04,43,1
2020-05,43,1
2020-06,44,1
2020-07,44,1
2020-08,44,1
2020-09,46,1
2020-10,57,1
2020-11,53,1
2020-12,50,1
2021-01,44,1
2021-02,40,1
2021-03,38,<1
2021-04,38,<1
2021-05,37,<1
2021-06,38,<1
2021-07,38,<1
2021-08,42,<1
2021-09,55,<1
2021-10,49,<1
2021-11,48,1
2021-12,49,1
2022-01,49,<1
2022-02,44,<1
2022-03,43,<1
2022-04,43,<1
2022-05,44,1
2022-06,45,<1
2022-07,47,<1
2022-08,47,<1
2022-09,65,<1
2022-10,51,<1
2022-11,45,<1
2022-12,48,<1
2023-01,48,<1
2023-02,44,<1
2023-03,42,<1
2023-04,42,<1
2023-05,43,<1
2023-06,44,<1
2023-07,45,<1
2023-08,46,<1
2023-09,63,<1
2023-10,49,<1
2023-11,48,<1
2023-12,48,<1
2024-01,45,<1
2024-02,43,<1
2024-03,42,<1
2024-04,41,<1
2024-05,41,<1
2024-06,43,<1
2024-07,44,<1
2024-08,44,<1
2024-09,63,<1
2024-10,48,<1
2024-11,47,<1
